DRG,DRG_Cost_FFyear2012,DRG_Cost_FFyear2013,DRG_Cost_FFyear2014,DRG_Cost_FFyear2015,DRG_Cost_FFyear2016,DRG_Cost_FFyear2017,DRG_Cost_FFyear2018,DRG_Cost_FFyear2019,_2012_costweight,_2012_average_total,_2013_costweight,_2013_average_total,_2014_costweight,_2014_average_total,_2015_costweight,_2015_average_total,_2012_private,_2012_paed,_2013_private,_2013_paed,_2014_private,_2014_paed,_2015_private,_2015_paed,_2016_private,_2016_paed,ave_charge_1112,ave_charge_1213,ave_charge_1314,ave_charge_1415,ave_charge_1516,ave_charge_1617,ave_charge_1718,ave_charge_1819
D65Z,2140,2113,2242,3082,2937,3271.7,3528,3784.3,0,2140,0,2113,0,2242,,,,,,,0.71,0.84,0.19,0.86,0.2,0.88,1037,1136,1201,,1545.86,,1764.13,1700.48
D66A,6120,5776,7798,4765,5019,4858.006644,4654.649013,4578.140938,1,6120,1,5776,2,7798,1,4765,0.1,1,0.11,1.08,0.77,1.18,0.09,1.25,0.09,1.26,2899,2609,3307,2008,2798.5,1935.6,3964.41,4240.16
D66B,2009,1943,3199,1808,1762,1592.698553,1472.433487,1441.214677,0,2009,0,1943,1,3199,0,1808,0.15,1,0.17,1.18,0.71,1,0.1,1,0.12,0.85,840,872,966,975,974.3,877.26,1019.12,1096.17
D66C,,,1272,3286.5,3390.5,,,,,,,,0,1272,,,,,,,,,0.25,1.11,0.27,1.23,,,721,,,,1187.97,1238.72
D67A,4484,4341,4488,5362,5327,6445.046476,5894.588052,5673.553057,1,4484,1,4341,1,4488,1,5362,0.08,1.29,0.09,1.41,0.73,1.22,0.08,1.24,0.09,1.32,2463,2564,2694,3447,4222.52,3551.02,4291.8,4495.97
D67B,1181,1152,1220,2111,1941,2029.116353,1640.459318,1627.725638,0,1181,0,1152,0,1220,0,2111,0.16,1.25,0.15,1.36,0.66,1.09,0.21,1.37,0.28,1.38,718,764,799,1087,838.28,1086.62,1072.54,1073.83
E01A,29239,28509,28575,46069,51177,47449.79061,51969.99537,49513.86086,6,29239,6,28509,6,28575,9,46069,0.16,0.86,0.15,0.89,0.74,1.16,0.17,1.06,0.16,1.17,18539,19494,20516,27235,22806.91,28562.44,24446.17,24265.8
E01B,15973,15777,17039,25400,26440,26030.07202,28295.66838,28487.37257,3,15973,3,15777,3,17039,5,25400,0.19,1,0.19,1,0.71,1.09,0.19,1.11,0.21,1.15,11198,11857,12373,20043,13830.36,20549.61,14349.27,14618.83
E01C,,,,16423,17939,18331.55617,19074.5502,19442.5475,,,,,,,3,16423,0.17,1.16,0.24,1.15,,,,,,,,,,13635,,14295.21,,
E02A,24966,22298,24298,24787,25682,28500.17621,29432.82759,30910.74829,5,24966,5,22298,5,24298,5,24787,0.13,1.32,0.13,1.32,0.74,1.44,0.17,1.48,0.15,1.33,13886,13909,14836,14602,16860.36,15094.02,19181.99,18193.8
E02B,9963,9931,9075,8312,8212,8628.483224,8990.096391,8987.66771,2,9963,2,9931,2,9075,2,8312,0.14,0.8,0.18,0.8,0.74,0.83,0.17,0.88,0.18,0.86,6123,5778,5951,4574,7193.21,4362.09,7529.01,7507.16
E02C,4235,4391,4375,4008,4259,4230.02566,4589.270507,4895.533447,1,4235,1,4391,1,4375,1,4008,0.18,0.95,0.21,1,0.79,0.85,0.2,0.89,0.17,0.87,2131,2369,2425,2416,2614.59,2475.27,2790.37,2870.9
E03Z,,,,,,148583.2431,162022.515,189629.657,,,,,,,,,,,,,,,,,,,,,,,,,,
E40A,35755,34115,36919,42100,46729,44022.50246,48935.3975,50742.10165,7,35755,7,34115,7,36919,8,42100,0.11,0.92,0.1,0.95,0.8,1,0.11,0.94,0.12,0.95,15584,18642,19842,25974,25458.24,25899.61,29272.43,27271.89
E40B,23959,24031,16464,28141,30212,30106.74583,29722.70316,31723.10401,5,23959,5,24031,3,16464,6,28141,0.09,0.8,0.11,0.8,0.75,0.92,0.12,1,0.12,1,5326,11000,8151,20056,24006.11,21659.75,14236.6,16046.7
E41A,,,26603,28129,28408,29768.65188,29981.38266,29508.63294,,,,,5,26603,6,28129,0.08,0.84,0.09,0.85,,,0.09,1.42,0.1,1.29,,,15407,22556,,20048.3,20210.47,19547.74
E41B,,,15866,15538,15291,14628.64447,13499.35455,13684.43312,,,,,3,15866,3,15538,0.08,0.8,0.09,0.8,,,0.08,1,0.08,1,,,6447,15950,,15359.59,14480.1,12592.99
E41Z,23233,22192,21235,21834,21849.5,21131.2,20818.7,20506.2,5,23233,5,22192,,,,,,,,,0.83,1.11,,,,,12195,12902,10927,19253,18372.32,,,
E42A,23797,22762,25140,14850,16396,23890.40422,23340.85074,24865.30338,5,23797,5,22762,5,25140,3,14850,0.12,1.33,0.13,1.35,0.82,1,0.09,1.12,0.12,1.29,12236,12014,11343,7801,12818.04,8145.53,14051.61,15146.52
E42B,10816,10661,10748,3027,3365,8808.947305,8478.139408,8446.72676,2,10816,2,10661,2,10748,1,3027,0.24,1.06,0.25,1.14,0.75,1.42,0.13,1.33,0.14,1.3,5543,5765,5711,2156,6791.96,2616.6,7083.4,7198.17
E42C,1965,2022,1996,8939,9880.5,3275.399416,3533.574641,3676.080297,0,1965,0,2022,0,1996,,,,,,,0.65,1.62,0.26,1.34,0.31,1.39,1185,1213,1210,1203,1250.37,,1260.68,1273.99
E60A,19041,21634,21773,22628,25116,23281.18657,30003.74956,33736.05274,4,19041,4,21634,4,21773,5,22628,0.03,1.26,0.04,1.31,0.86,1.15,0.03,1.19,0.04,1.22,505,825,,6476,8711.55,820.31,,
E60B,13267,15357,14366,15089,15348,10211.65983,17773.07144,19657.58625,3,13267,3,15357,3,14366,3,15089,0.04,1.21,0.03,1.28,0.84,1.26,0.04,1.25,0.04,1.28,1802,1501,2188,5017,5608.52,1689.85,5642.91,7423
E61A,14123,13526,12955,10309,11021,10870.43876,10269.76463,10602.01645,3,14123,3,13526,3,12955,2,10309,0.13,1,0.15,1,0.78,1,0.12,1,0.13,1,7948,8702,9313,6857,9540.55,6681.93,9680.72,9546.93
E61B,6577,6118,6251,4954,4704,4519.529657,3867.3691,3871.617385,1,6577,1,6118,1,6251,1,4954,0.17,1,0.18,1,0.75,1,0.15,1,0.18,1,4516,4586,4567,3909,4440.89,3860.59,4603.31,4862.78
E62A,11848,11112,11390,9682,9817,9768.986466,9223.674807,9144.450518,2,11848,2,11112,2,11390,2,9682,0.09,0.91,0.1,0.93,0.81,1.55,0.09,1.59,0.1,1.57,8522,8898,8995,7842,9591.03,7826.97,10102.78,10191.08
E62B,6950,6661,6569,4379,4217,4349.674113,3876.602162,3866.035099,1,6950,1,6661,1,6569,1,4379,0.1,0.81,0.11,0.82,0.8,1.23,0.1,1.31,0.11,1.29,5310,5417,5560,4316,5713.62,4248.19,6083.18,6135.17
E62C,4266,4051,4093,7031,6944.5,7778.2,8611.9,9445.6,1,4266,1,4051,1,4093,,,,,,,0.79,1,0.11,1,0.11,0.88,3212,3216,3216,3215,3625.9,,3960.93,3886.36
E63A,,,,3707,4309,3270.271558,3099.418148,3376.413517,,,,,,,1,3707,0.13,1.18,0.11,1.23,,,,,,,,,,653,,655.84,,
E63B,,,,1627,1614,1779.72922,1455.651756,1631.324731,,,,,,,0,1627,0.34,1,0.33,1.07,,,,,,,,,,654,,680.86,,
E63Z,1612,1885,1827,2667,2961.5,3234.8,3582.9,3931,0,1612,0,1885,0,1827,,,,,,,0.79,1,0.14,1.13,0.29,1.29,635,656,655,654,669.33,,726.65,747.48
E64A,11497,10709,9687,11257,11923,11556.15743,12242.33734,12066.29656,2,11497,2,10709,2,9687,2,11257,0.1,1,0.09,1,0.8,1,0.1,1,0.12,1,7740,7541,6838,8775,9988.79,7244.04,7334.9,8063.04
E64B,5904,5718,4131,5403,4893,4550.486006,4710.958694,4334.027476,1,5904,1,5718,1,4131,1,5403,0.06,1,0.1,1,0.78,1,0.1,1,0.17,1,5013,4986,2990,4744,4491.83,4572.89,3418.56,3412.95
E65A,10327,10071,10061,9008,9266,9016.200902,8372.365315,8753.181587,2,10327,2,10071,2,10061,2,9008,0.09,2,0.09,2,0.83,1,0.09,1,0.09,1,8004,8151,8835,7649,9192.27,7335.2,9331.56,9706.82
E65B,5792,5568,5590,4640,4521,4354.423162,3764.075321,3881.201218,1,5792,1,5568,1,5590,1,4640,0.09,1.86,0.1,2,0.81,1.71,0.09,2,0.1,2,5157,5391,5485,4911,4688.04,3785.46,4776.85,4798.2
E66A,15871,14172,13990,10140,11123,14584.16326,10400.80529,10603.01393,3,15871,3,14172,3,13990,2,10140,0.09,1,0.11,1,0.77,1,0.1,1,0.12,1,9368,9715,10366,8412,12685.34,8632.76,9371.93,10518.32
E66B,7084,6850,7001,3922,4130,7319.350684,3588.359999,3630.231638,1,7084,1,6850,1,7001,1,3922,0.12,1,0.13,1,0.75,1,0.12,1,0.13,1,5930,6127,6284,4737,5869.09,2759.94,5947.33,5336.94
E66C,4024,3786,3805,7031,6921.5,3641.735353,,,1,4024,1,3786,1,3805,,,,,,,0.69,1,0.12,1,0.15,1,3845,4113,4510,4156,3694.74,,3094.41,3557
E67A,5802,5509,6457,4710,4873,4648.741163,4184.130555,4420.311801,1,5802,1,5509,1,6457,1,4710,0.15,0.86,0.14,0.89,0.75,1.18,0.15,1,0.14,0.95,4219,4433,4146,4112,5088.88,3850.34,4782.83,4717.77
E67B,2376,2291,1892,2211,1925,2003.995163,1372.832466,1376.51533,0,2376,0,2291,0,1892,0,2211,0.15,0.8,0.15,0.8,0.7,1,0.24,0.8,0.22,0.8,2020,1965,1503,2199,2153.75,2142.31,1927.7,1854.22
E68A,8715,8866,9940,10040,9814,9948.942642,9639.296133,10159.57132,2,8715,2,8866,2,9940,2,10040,0.1,1,0.12,1,0.78,1,0.09,1,0.11,1,4590,3394,6097,4565,6072.45,6234.23,5495.02,6489.76
E68B,4406,4193,4995,4618,4478,4321.286952,3733.25201,3810.663217,1,4406,1,4193,1,4995,1,4618,0.1,1.09,0.11,1.14,0.74,1.13,0.11,0.94,0.11,1,2234,2184,2236,2906,3056.81,3055.73,3328.25,2789.84
E69A,5524,5303,5348,6002,5967,5875.555269,4534.169307,4851.020298,1,5524,1,5303,1,5348,1,6002,0.09,0.87,0.1,0.9,0.81,0.9,0.09,1,0.1,0.89,4588,4727,4755,5211,5580.8,5315.04,5656.67,6015.35
E69B,2696,2595,2568,2543,2447,2454.274385,1629.890439,1710.99032,1,2696,1,2595,1,2568,1,2543,0.07,0.8,0.08,0.8,0.82,0.83,0.08,0.88,0.08,0.8,1742,1732,1726,2344,2317.1,2510.21,2728.48,2619.99
E70A,8279,7683,6951,6683,6554,6698.276187,5971.951563,6194.273339,2,8279,2,7683,1,6951,1,6683,0.06,1,0.05,1,0.83,1,0.05,1,0.06,0.88,1470,1579,1401,5070,5499.18,5527.97,6546.42,6733.03
E70B,4009,4104,3752,3737,3504,3542.819031,2862.206898,2867.489198,1,4009,1,4104,1,3752,1,3737,0.05,0.83,0.05,0.81,0.8,1,0.05,0.92,0.05,0.86,1104,971,1181,2346,2893.63,3260.11,2968.23,2940.24
E71A,12054,11645,13136,11319,12093,12508.82763,13030.85163,13402.60552,3,12054,2,11645,3,13136,2,11319,0.07,1,0.09,1,0.8,1,0.09,1,0.09,1,7328,7885,7699,8510,9131.25,8373.34,10346.55,10280.87
E71B,5608,5413,6993,4457,4440,4840.540121,4807.211182,4788.911428,1,5608,1,5413,1,6993,1,4457,0.11,1.54,0.13,1.43,0.77,1.09,0.11,1.2,0.1,1.22,3666,4059,4859,3444,3718.34,3217.8,5386.8,5528
E71C,,,1580,1580,1580,,,,,,,,0,1580,,,,,,,,,0.24,1.91,0.26,1.92,,,693,,,,844.1,730.39
E72Z,5343,4619,4388,4215,3659,3169.401141,3860.113318,2687.020095,1,5343,1,4619,1,4388,1,4215,0.02,0.89,0.1,0.8,0.88,1,0.1,0.87,0.1,1,,1724,2497,2583,2613.05,1279.59,1858.53,2012.37
E73A,12606,12682,12594,13645,14424,14505.27819,13345.26609,14162.97918,3,12606,3,12682,3,12594,3,13645,0.11,1,0.13,1,0.77,1,0.1,1,0.11,1,6898,7555,7588,9006,8866.15,8689.72,9605.25,9726.29
E73B,6764,6680,6728,6569,6903,6896.862912,6398.601196,6201.414821,1,6764,1,6680,1,6728,1,6569,0.12,1,0.18,1,0.77,1,0.13,1,0.16,1,3890,3924,4120,4652,4514.15,4857.04,4807.06,4954.03
E73C,3740,3405,3539,2902,3004,2966.603432,3005.349643,3272.402201,1,3740,1,3405,1,3539,1,2902,0.17,1,0.18,1,0.75,1,0.17,1,0.24,1,2227,2027,2235,2168,2331.83,2443.56,2554.61,2457.08
E74A,11461,12065,11524,8728,9114,10040.34382,9791.69671,9637.421947,2,11461,2,12065,2,11524,2,8728,0.09,1,0.1,1,0.8,1,0.13,1,0.09,1,8498,8606,8949,6808,9376.52,6924.65,10531.89,11755.53
E74B,7776,7246,7220,3152,3411,4237.243855,3686.419267,3758.118641,2,7776,1,7246,1,7220,1,3152,0.11,0.83,0.1,0.84,0.77,1,0.1,1,0.13,1,6051,6568,6288,2996,5352.37,2107.26,6250.25,5453.44
E74C,4139,3994,4207,5940,5974,6535.6,7097.2,7658.8,1,4139,1,3994,1,4207,,,,,,,0.78,0.8,0.1,0.94,0.09,1,3838,3555,3605,3666,2373.94,,2673.17,2455.04
E75A,10060,9604,6758,6784,6730,6704.555437,5700.4653,5958.410041,2,10060,2,9604,1,6758,1,6784,0.09,1.13,0.1,1.27,0.81,1.88,0.1,1.38,0.1,1.43,6562,7284,5708,5711,8328.79,6286.58,6660.34,6495.01
E75B,6030,5791,2886,2781,2661,2700.242045,1842.853036,1907.273475,1,6030,1,5791,1,2886,1,2781,0.1,1,0.12,1,0.8,1.49,0.11,0.95,0.11,1,4979,4982,2667,3111,5480.59,2788.99,3379.01,3390.31
E75C,3157,2941,4822,4783,5615.5,6291.4,6967.3,7643.2,1,3157,1,2941,,,,,,,,,0.77,1,,,,,2652,2553,2603,2603,2794.95,2741.96,2775.55,2809.14
E76A,,,23014,25763,25035,,21893.5014,31701.32228,,,,,5,23014,5,25763,0.09,1,0.1,1,,,0.1,1,0.1,1,,,,,,7263.7,,
E76B,,,9289,8733,11132,,11350.22669,9230.73323,,,,,2,9289,2,8733,0.09,1,0.1,1,,,0.1,1,0.1,1,,,,,,,,
E76Z,6366,15377,16152,17248,18083.5,20904.87691,,,1,6366,3,15377,,,,,,,,,0.78,1,,,,,,,,,10245.89,,,
E77A,,,,,,12370.41979,12257.37219,12950.07373,,,,,,,,,,,,,,,,,,,,,,,,,,
E77B,,,,,,6417.040759,5858.339636,6084.076181,,,,,,,,,,,,,,,,,,,,,,,,,,
F01A,48296,45808,46730,49332,50618,48661.9763,44111.15122,45224.34659,10,48296,9,45808,9,46730,10,49332,0.48,1,0.71,1,0.37,1,0.62,1,0.63,1,73663,72767,74332,78254,76962.57,79284.19,70083.23,64805.36
F01B,23177,21954,22191,23446,20499,20998.15715,20066.20289,19249.24835,5,23177,4,21954,4,22191,5,23446,0.86,1,0.94,1,0.53,1,1,1,1,1,61681,63002,63621,64193,65048.75,62799.88,57030.45,51018.77
F02Z,11943,11762,13890,13156,14007,15261.35203,17903.44688,16768.19097,2,11943,2,11762,3,13890,3,13156,0.32,1,0.37,1,0.67,1,0.38,1,0.34,1,15174,15941,19972,18658,20170.53,19005.68,19578,21126.75
F03A,63677,62211,66055,76104,83814,86407.18439,97643.88682,90534.66712,13,63677,13,62211,13,66055,15,76104,0.13,1,0.2,1,0.67,1,0.27,1,0.22,1,39489,44871,46727,53118,51901,55578.43,55721.15,58838.61
F03B,40204,40488,38223,50786,57941,55155.56387,54560.36884,55890.91446,8,40204,8,40488,8,38223,10,50786,0.13,1,0.2,1,0.67,1,0.26,1,0.2,1,30386,34199,36285,41058,42452.84,46859.64,43926.86,46815.49
F04A,48377,48511,50470,79945,83963,85643.51996,86005.23059,88937.85853,10,48377,10,48511,10,50470,16,79945,0.19,1.09,0.16,1.19,0.63,0.95,0.23,1,0.26,1.13,32153,37714,39507,55361,43165.15,58089.26,47144.6,47676.49
F04B,34466,33735,34996,48275,52169,50878.86153,53668.69687,55945.04381,7,34466,7,33735,7,34996,10,48275,0.27,1,0.24,1,0.6,1,0.24,1,0.26,1.05,26859,30580,31229,42037,32526.55,43872.69,36861.05,38814.63
F04C,,,,37463,40057,39280.04292,41304.65444,41291.70755,,,,,,,7,37463,0.23,1.1,0.21,1.1,,,,,,,,,,34673,,36660.41,,
F05A,51288,51122,53462,62360,70698,66453.04284,68674.57885,71081.05705,11,51288,10,51122,11,53462,12,62360,0.21,1,0.2,1,0.73,1,0.21,1,0.19,1,32395,36364,38008,42950,41577.71,45891.79,43954.76,43843.51
F05B,39430,39116,39809,44256,48235,47841.49728,49323.18486,52570.55452,8,39430,8,39116,8,39809,9,44256,0.19,1,0.19,1,0.74,1,0.21,1,0.32,1,24895,27734,28984,33298,31133.6,35819.45,32205.4,33528.47
F06A,34880,35161,39199,51217,55240,61898.1197,59568.86766,60983.4201,7,34880,7,35161,8,39199,10,51217,0.18,1,0.17,1,0.71,1,0.22,1,0.19,1,24666,27130,30194,34986,30535.05,38703.62,33990.52,33495.95
F06B,26986,26317,29405,33082,36628,41746.31681,42068.71255,43568.33741,6,26986,5,26317,6,29405,7,33082,0.18,1,0.23,1,0.7,1,0.22,1,0.2,1,20528,22324,24858,27384,24246.24,28884.65,28446.01,28427.46
F06C,,,,,,34429.52849,35436.10128,37214.6107,,,,,,,,,,,,,,,,,,,,,,,,,,
F07A,49548,51029,51942,79087,90024,69423.9681,80789.24505,85463.81429,10,49548,10,51029,10,51942,16,79087,0.21,1,0.26,1.05,0.66,1.15,0.2,1.22,0.2,1.28,23917,25668,28364,47035,38183.61,51438.57,42540.73,42727.28
F07B,37346,37087,33479,47788,47909,37769.33344,53419.48025,53205.41751,8,37346,8,37087,7,33479,10,47788,0.24,1,0.26,1,0.67,0.95,0.32,1,0.26,1.05,20405,21240,21715,35443,29414.99,39138.31,30757.23,30406.26
F07C,28624,28568,42711,34823,36177,,37354.68481,37650.00985,6,28624,6,28568,,,7,34823,0.2,1.09,0.26,1,0.71,1,,,,,15456,18831,,30770,27570.9,33258.01,,
F08A,39155,38266,37434,58487,63095,66668.9969,65562.51567,67384.73986,8,39155,8,38266,8,37434,12,58487,0.17,1,0.28,1,0.7,1,0.2,1,0.25,1,28598,28641,29476,39447,34815.21,40940.08,38077.83,36681.97
F08B,21025,21830,22840,32001,32820,35915.50952,36651.35264,37576.66602,4,21025,4,21830,5,22840,6,32001,0.25,1,0.25,1,0.62,1,0.47,1,0.28,1,17674,18469,19585,26828,21218.62,28722.58,21983.7,22046.08
F08C,,,,19929,20590,21137.63976,22623.13673,22816.38386,,,,,,,4,19929,0.31,1,0.32,1,,,,,,,,,,19788,,20760.35,,
F09A,27546,27027,36711,41125,43755,42054.85618,35350.03902,37603.45458,6,27546,6,27027,7,36711,8,41125,0.17,1,0.17,0.9,0.73,1.33,0.21,1.37,0.17,1.56,20279,22454,20759,25113,27398.84,31112.13,29687.71,29388.93
F09B,16126,14149,13358,24064,25989,21778.35651,14871.83245,15927.55544,3,16126,3,14149,3,13358,5,24064,0.18,1,0.23,1.12,0.62,1,0.31,1.63,0.23,1.83,13882,15796,11578,18326,15537.35,23253.16,15046.62,14957.21
F09C,11841,11998,12200,12743,12905,11802.01571,,,2,11841,2,11998,2,12200,3,12743,0.17,1,0.16,1,0.64,1.33,0.25,1,0.19,1,11669,12375,11142,12903,13400.5,14506.88,14700.17,17917.31
F10A,19144,18195,18631,20358,20587,21555.12551,21543.20818,22479.98697,4,19144,4,18195,4,18631,4,20358,0.23,1,0.28,1,0.68,1,0.3,1,0.28,1,21424,22290,21422,21162,21413.26,22072.46,22773.09,22712.47
F10B,10675,10598,11028,11338,11194,11505.22661,11054.30349,11252.83065,2,10675,2,10598,2,11028,2,11338,0.33,1,0.4,1,0.65,1,0.39,1,0.38,1,15197,16721,16406,16608,16739.53,16362.23,16139.45,15741.51
F11A,44126,44270,50170,58125,65639,68786.3896,76741.14708,80970.36783,9,44126,9,44270,10,50170,12,58125,0.1,1,0.12,1,0.78,1,0.1,1,0.13,1,26856,28371,32733,40146,32381.75,46788.71,41562.81,35801.12
F11B,25251,23921,29343,33284,34212,32712.05267,40786.99862,38637.01186,5,25251,5,23921,6,29343,7,33284,0.1,1,0.12,1,0.78,1,0.1,1,0.13,1,12786,15438,18207,27977,15593.28,24908.63,26055.17,23052.41
F12A,23219,23055,22728,21456,23236,22876.27889,21615.62483,21845.79249,5,23219,5,23055,5,22728,4,21456,0.41,1,0.44,1,0.6,1,0.52,1,0.38,1,23102,26669,25929,25149,27933.23,27191.2,28116.98,27174.8
F12B,11875,12105,11818,10951,10563,10777.61176,10782.82826,10783.24912,2,11875,2,12105,2,11818,2,10951,0.62,1,0.63,1,0.47,1.82,0.71,1,0.59,1,16965,19790,20205,19992,21152.56,21300.04,20359.98,18980.97
F13A,28583,25108,24356,31988,33320,32119.40438,35962.00158,38896.19461,6,28583,5,25108,5,24356,6,31988,0.1,1,0.12,1,0.74,1,0.11,1,0.1,1,16404,15630,15230,19383,18930.31,21625.54,20878.71,21769.86
F13B,9870,10640,12829,14531,14427,14529.85677,15971.97888,16278.38446,2,9870,2,10640,3,12829,3,14531,0.1,1,0.12,1,0.74,1,0.11,1,0.11,1,9252,8789,9698,11737,12234.1,11127.62,11822.76,11281.97
F14A,21028,19641,19051,30945,33207,33452.03776,34994.21551,35252.62011,4,21028,4,19641,4,19051,6,30945,0.13,1.19,0.17,1.2,0.7,1,0.2,1,0.17,1,17527,17165,17809,23056,20946.5,26004.78,23477,22458.52
F14B,10579,9052,9078,13575,14683,13877.39264,15141.58241,15330.81465,2,10579,2,9052,2,9078,3,13575,0.27,1.16,0.29,1.12,0.61,1,0.26,1.63,0.3,1.52,8916,8798,9488,12827,10944.27,13618.78,10758.13,10911.77
F14C,6897,6960,7233,6827,7243,7507.909711,8248.767163,8412.179154,1,6897,1,6960,1,7233,1,6827,0.33,1.27,0.39,1.35,0.54,1,0.4,1.39,0.32,1.36,6801,7142,7439,8013,8878.97,8832.05,9072.18,8737.79
F15A,12766,11665,12046,16294,17863,18573.7,20056,21538.3,3,12766,2,11665,2,12046,3,16294,0.28,1,0.37,1,0.68,1,0.4,1,0.4,1,16234,16783,17137,19474,18010.19,20250.11,17995.9,17442
F15B,8293,8172,8417,8441,8471,8546.3,8608.8,8671.3,2,8293,2,8172,2,8417,2,8441,0.47,1,0.53,1,0.6,1,0.6,1,0.56,1,14481,15008,15274,15793,15684.17,15772.5,15336.84,15019.75
F16A,10435,10337,10601,14893,19374,19858.2,22101.6,24345,2,10435,2,10337,2,10601,3,14893,0.24,1,0.29,1,0.76,1,0.32,1,0.38,1,11300,12374,10977,16172,10906.11,14903.15,10399.5,11076.83
F16B,6685,6256,6879,7243,7211,7466.5,7670.4,7874.3,1,6685,1,6256,1,6879,1,7243,0.28,1,0.37,1,0.67,1,0.37,1,0.38,1,9883,10558,9617,9810,9463.53,9662.97,9790.74,9813.08
F17A,13557,13428,7510,14387,12464,15465.29435,13464.6634,13989.32078,3,13557,3,13428,,,3,14387,0.75,1,0.74,1,0.53,1,,,,,14274,20904,7679,19227,19454.81,20314.72,20715.99133,21784.6779
F17B,7069,7088,7510,6889,6506,6871.184907,6789.473824,6746.351344,1,7069,1,7088,,,1,6889,0.74,1,0.78,1,0.52,1,,,,,12338,15058,7679,15046,15980.95,16433.07,16816.95667,17691.56238
F17Z,,,7510,10638,9485,,,,,,,,2,7510,,,,,,,,,0.93,1,0.64,1,,,15358,,,,15476.62,14259.6
F18A,13467,15344,15004,22035,23294,,,,3,13467,3,15344,3,15004,4,22035,0.13,1,0.25,1,0.68,1,0.4,1,0.36,1,12688,13622,13158,13054,13000.7,14922.09,11427.58,11849.09
F18B,6300,5961,7301,6886,7306,,,,1,6300,1,5961,1,7301,1,6886,0.2,1,0.25,1,0.77,1,0.4,1,0.36,1,6168,8661,7156,8263,7284.81,8180.4,7613.02,7400.82
F18Z,,,,,,12640.8558,13404.98842,15570.63549,,,,,,,,,,,,,,,,,,,,,,,,,,
F19A,,,18121,20985,24719,23580.66657,29333.87253,29318.0054,,,,,4,18121,4,20985,0.14,0.87,0.16,0.85,,,0.19,1,0.12,1.12,,,14929,16726,,15952.83,15466.2,17909.97
F19B,,,13025,10973,12553,11753.76487,13422.6849,13793.40802,,,,,3,13025,2,10973,0.28,1.35,0.45,1.32,,,0.53,0.92,0.36,1,,,13712,14737,,13303.15,15007.22,16231.19
F19Z,13979,16293,15573,15979,18636,18792,19692,20592,3,13979,3,16293,,,,,,,,,0.59,0.8,,,,,13435,13858,14321,15732,14419.65,,,
F20Z,4787,4765,5067,4872,5338,5073.181339,5510.26119,5481.170752,1,4787,1,4765,1,5067,1,4872,0.23,0.86,0.24,1,0.69,0.8,0.23,0.8,0.26,0.8,2798,2859,3014,3203,3418.56,3561.76,3766.31,3968.45
F21A,23924,23319,21800,27615,29899,41463.82765,39372.01951,39924.57783,5,23924,5,23319,4,21800,6,27615,0.1,1,0.08,1,0.8,1,0.12,1,0.12,1,18296,17780,15452,20910,22490.11,20124.25,22689.09,22731.75
F21B,8911,8753,8727,12437,11719,17436.12075,16382.22797,17043.2379,2,8911,2,8753,2,8727,2,12437,0.1,1,0.12,1,0.73,1,0.14,1,0.11,1,6669,6953,6754,8397,7822.33,9479.16,7397.4,7324.55
F21C,,,,6912,6774,7899.175851,7949.17213,8614.87112,,,,,,,1,6912,0.16,1,0.26,1,,,,,,,,,,4838,,5464.43,,
F22Z,,,,,,408569.0338,447434.1987,429604.4047,,,,,,,,,,,,,,,,,,,,,,,,,,
F23Z,,,,,,186700.4889,189235.5373,166711.0314,,,,,,,,,,,,,,,,,,,,,,,,,,
F24A,,,,,,20937.59142,18716.03284,20551.17314,,,,,,,,,,,,,,,,,,,,,,,,,,
F24B,,,,,,9165.316606,8549.157729,9353.169211,,,,,,,,,,,,,,,,,,,,,,,,,,
F40A,33345,31713,41042,41953,40347,45081.77326,49154.25221,47749.96,7,33345,6,31713,8,41042,8,41953,0.13,1,0.11,1,0.77,1,0.12,1,0.08,1,22259,21945,31497,32065,25672.98,29345.61,31760.32,33909.26
F40B,17414,18894,16203,21285,22761,22061.19746,21665.18681,22930.94143,4,17414,4,18894,3,16203,4,21285,0.13,1,0.24,1,0.76,1,0.13,1,0.09,1,,16417,,18534,,12285.9,,
F41A,13660,13709,14166,14433,15578,15209.90605,15975.92986,16374.51401,3,13660,3,13709,3,14166,3,14433,0.15,1,0.15,1,0.77,1,0.15,1,0.16,1,9540,9946,10061,9526,10311.39,10307.7,10172.79,10438.81
F41B,7370,7274,8066,7879,8219,8146.379527,8062.541942,8355.530451,2,7370,1,7274,2,8066,2,7879,0.16,1,0.21,1,0.79,1,0.18,1,0.2,1,6001,6435,6194,6028,5891.54,6286.33,6272,6514.66
F42A,13312,12771,13214,11569,12737,12843.28477,13062.83029,13106.93536,3,13312,3,12771,3,13214,2,11569,0.19,1.39,0.19,1.38,0.75,1,0.16,1,0.17,1.34,7131,7412,7386,7275,8106.78,7949.98,8715.27,9115.53
F42B,6816,7041,7483,4719,4993,4380.261512,4533.952301,4568.913737,1,6816,1,7041,2,7483,1,4719,0.28,1.97,0.32,1.97,0.71,1.23,0.3,1.32,0.26,1.47,4764,5302,5492,4579,5976.68,4850.35,6473.38,6843.16
F42C,2758,3007,3145,8144,8337.5,9967.1,11596.7,13226.3,1,2758,1,3007,1,3145,,,,,,,0.66,1.82,0.35,1.93,0.35,2,2990,3364,3467,3274,3645.09,,3761.52,3693.09
