DRG,DRG_Cost_FFyear2012,DRG_Cost_FFyear2013,DRG_Cost_FFyear2014,DRG_Cost_FFyear2015,DRG_Cost_FFyear2016,DRG_Cost_FFyear2017,DRG_Cost_FFyear2018,DRG_Cost_FFyear2019,_2012_costweight,_2012_average_total,_2013_costweight,_2013_average_total,_2014_costweight,_2014_average_total,_2015_costweight,_2015_average_total,_2012_private,_2012_paed,_2013_private,_2013_paed,_2014_private,_2014_paed,_2015_private,_2015_paed,_2016_private,_2016_paed,ave_charge_1112,ave_charge_1213,ave_charge_1314,ave_charge_1415,ave_charge_1516,ave_charge_1617,ave_charge_1718,ave_charge_1819
B81B,4350,4067,4164,3955,3914,3734.429505,3352.793187,3295.311184,1,4350,1,4067,1,4164,1,3955,0.13,1.28,0.16,1.39,0.72,1.12,0.14,1.18,0.14,1.13,2681,2534,2524,2918,1233.89,1258.71,1469.74,1707.78
B82A,32390,32192,97489,47284,46751,26799.65288,25152.38338,25147.12834,7,32390,7,32192,20,97489,9,47284,0.1,1,0.08,1,0.81,1,0.09,1,0.12,1,22488,25204,27555,23423,26020.73,24594.79,35691.92,27451.81
B82B,14678,13268,26975,14111,14057,9510.855076,8861.426253,9120.67789,3,14678,3,13268,5,26975,3,14111,0.1,1.86,0.09,1.54,0.82,1,0.09,1,0.11,1,9486,7833,19303,9540,6674.93,7852.91,29475.14,27016.15
B82C,8389,7499,8616,5668,6261,4698.941316,5652.647735,5019.747001,2,8389,2,7499,2,8616,1,5668,0.1,0.94,0.1,0.93,0.78,1.27,0.1,1.44,0.15,1.21,3720,4199,4545,2099,2998.19,1995.75,3857.29,4099.06
B83A,,,,,,32859.53507,29507.3446,32396.18783,,,,,,,,,,,,,,,,,,,,,,,,,,
B83B,,,,,,12908.56534,12226.14195,11162.30665,,,,,,,,,,,,,,,,,,,,,,,,,,
B83C,,,,,,6364.035902,6092.870551,5411.403394,,,,,,,,,,,,,,,,,,,,,,,,,,
C01A,,,,13088,14035,13458.12408,,,,,,,,,3,13088,0.1,1,0.08,1,,,,,,,,,,,,3090.35,,
C01B,,,,6596,6913,6957.881707,,,,,,,,,1,6596,0.1,1.71,0.1,1,,,,,,,,,,2231,,2816.13,,
C01Z,9039,9288,9875,9842,10474,,8566.236292,9810.002639,2,9039,2,9288,2,9875,,,,,,,0.72,1.41,0.15,1.25,0.52,1.3,2278,2128,2351,,3111.13,,3322.79,3394.59
C02A,,,,,,14315.74791,19955.48747,18911.82855,,,,,,,,,,,,,,,,,,,,,,,,,,
C02B,,,,,,7060.256672,7423.166434,7642.927803,,,,,,,,,,,,,,,,,,,,,,,,,,
C02Z,9580,9185,10094,10719,10221,,,,2,9580,2,9185,2,10094,2,10719,0.19,1.29,0.2,1.35,0.74,1.33,0.2,1.29,0.21,1.28,3059,3242,3298,3779,3712.51,3781.23,4054.72,4376.79
C03A,,,,4750,4708,4942.33692,5318.408622,5568.858047,,,,,,,1,4750,0.64,1.23,0.77,1.35,,,,,,,,,,2958,,2880.57,,
C03B,,,,1729,1519,1424.356273,1701.840798,1667.141245,,,,,,,0,1729,0.68,2,0.69,2,,,,,,,,,,1790,,1178.25,,
C03Z,3970,3607,3668,3240,3113.5,,,,1,3970,1,3607,1,3668,,,,,,,0.73,1.22,0.75,1.15,0.65,1.23,1603,1991,1993,2374,2024.13,,1528.16,1569.16
